Tila;Epoch-aika;Päivä;Kuukausi;Vuosi;Tunti;Minuutti;Määrä
1478;1573184520;08;11;2019;06;42;0
1478;1573185480;08;11;2019;06;58;0
1478;1573186440;08;11;2019;07;14;0
1478;1573187400;08;11;2019;07;30;0
1478;1573188360;08;11;2019;07;46;0
1478;1573189320;08;11;2019;08;02;0
1478;1573190280;08;11;2019;08;18;8
1478;1573191240;08;11;2019;08;34;15
1478;1573192200;08;11;2019;08;50;12
1478;1573193160;08;11;2019;09;06;11
1478;1573194120;08;11;2019;09;22;12
1478;1573195080;08;11;2019;09;38;13
1478;1573196040;08;11;2019;09;54;12
1478;1573197000;08;11;2019;10;10;8
1478;1573197960;08;11;2019;10;26;18
1478;1573198920;08;11;2019;10;42;19
1478;1573199880;08;11;2019;10;58;18
1478;1573200840;08;11;2019;11;14;2
1478;1573201800;08;11;2019;11;30;2
1478;1573202760;08;11;2019;11;46;2
1478;1573203720;08;11;2019;12;02;5
1478;1573204680;08;11;2019;12;18;13
1478;1573205640;08;11;2019;12;34;15
1478;1573206600;08;11;2019;12;50;19
1478;1573207560;08;11;2019;13;06;20
1478;1573208520;08;11;2019;13;22;19
1478;1573209480;08;11;2019;13;38;18
1478;1573210440;08;11;2019;13;54;16
1478;1573211400;08;11;2019;14;10;12
1478;1573212360;08;11;2019;14;26;4
1478;1573213320;08;11;2019;14;42;2
1478;1573214280;08;11;2019;14;58;4
1478;1573215240;08;11;2019;15;14;2
1478;1573216200;08;11;2019;15;30;2
1478;1573217160;08;11;2019;15;46;3
1478;1573218120;08;11;2019;16;02;1
1478;1573219080;08;11;2019;16;18;1
1478;1573220040;08;11;2019;16;34;0
1478;1573221000;08;11;2019;16;50;0
1478;1573221960;08;11;2019;17;06;0
1478;1573222920;08;11;2019;17;22;0
1478;1573223880;08;11;2019;17;38;0
1478;1573224840;08;11;2019;17;54;0
1478;1573225800;08;11;2019;18;10;0
1478;1573226760;08;11;2019;18;26;0
1478;1573227720;08;11;2019;18;42;0
1478;1573228680;08;11;2019;18;58;0
1478;1573229640;08;11;2019;19;14;0
1478;1573230600;08;11;2019;19;30;0
1478;1573231560;08;11;2019;19;46;0
1478;1573232520;08;11;2019;20;02;0
1478;1573233480;08;11;2019;20;18;0
1478;1573234440;08;11;2019;20;34;0
1478;1573235400;08;11;2019;20;50;0
1478;1573236360;08;11;2019;21;06;0
1478;1573237320;08;11;2019;21;22;0
1478;1573238280;08;11;2019;21;38;0
1478;1573239240;08;11;2019;21;54;0
1478;1573240200;08;11;2019;22;10;0
1478;1573241160;08;11;2019;22;26;0
1478;1573242120;08;11;2019;22;42;0
1478;1573243080;08;11;2019;22;58;0
1478;1573244040;08;11;2019;23;14;0
1478;1573245000;08;11;2019;23;30;0
1478;1573245960;08;11;2019;23;46;0
1478;1573246920;09;11;2019;00;02;0
1478;1573247880;09;11;2019;00;18;0
1478;1573248840;09;11;2019;00;34;0
1478;1573249800;09;11;2019;00;50;0
1478;1573250760;09;11;2019;01;06;0
1478;1573251720;09;11;2019;01;22;0
1478;1573252680;09;11;2019;01;38;0
1478;1573253640;09;11;2019;01;54;0
1478;1573254600;09;11;2019;02;10;0
1478;1573255560;09;11;2019;02;26;0
1478;1573256520;09;11;2019;02;42;0
1478;1573257480;09;11;2019;02;58;0
1478;1573258440;09;11;2019;03;14;0
1478;1573259400;09;11;2019;03;30;0
1478;1573260360;09;11;2019;03;46;0
1478;1573261320;09;11;2019;04;02;0
1478;1573262280;09;11;2019;04;18;0
1478;1573263240;09;11;2019;04;34;0
1478;1573264200;09;11;2019;04;50;0
1478;1573265160;09;11;2019;05;06;0
1478;1573266120;09;11;2019;05;22;0
1478;1573267080;09;11;2019;05;38;0
1478;1573268040;09;11;2019;05;54;0
1478;1573269000;09;11;2019;06;10;0
1478;1573269960;09;11;2019;06;26;0
1478;1573270920;09;11;2019;06;42;0
1478;1573271880;09;11;2019;06;58;0
1478;1573272840;09;11;2019;07;14;0
1478;1573273800;09;11;2019;07;30;0
1478;1573274760;09;11;2019;07;46;0
1478;1573275720;09;11;2019;08;02;0
1478;1573276680;09;11;2019;08;18;2
1478;1573277640;09;11;2019;08;34;2
1478;1573278600;09;11;2019;08;50;3
1478;1573279560;09;11;2019;09;06;2
1478;1573280520;09;11;2019;09;22;3
1478;1573281480;09;11;2019;09;38;3
1478;1573282440;09;11;2019;09;54;2
1478;1573283400;09;11;2019;10;10;2
1478;1573284360;09;11;2019;10;26;2
1478;1573285320;09;11;2019;10;42;2
1478;1573286280;09;11;2019;10;58;2
1478;1573287240;09;11;2019;11;14;2
1478;1573288200;09;11;2019;11;30;2
1478;1573289160;09;11;2019;11;46;2
1478;1573290120;09;11;2019;12;02;3
1478;1573291080;09;11;2019;12;18;2
1478;1573292040;09;11;2019;12;34;2
1478;1573293000;09;11;2019;12;50;2
1478;1573293960;09;11;2019;13;06;3
1478;1573294920;09;11;2019;13;22;2
1478;1573295880;09;11;2019;13;38;2
1478;1573296840;09;11;2019;13;54;2
1478;1573297800;09;11;2019;14;10;2
1478;1573298760;09;11;2019;14;26;3
1478;1573299720;09;11;2019;14;42;3
1478;1573300680;09;11;2019;14;58;3
1478;1573301640;09;11;2019;15;14;2
1478;1573302600;09;11;2019;15;30;2
1478;1573303560;09;11;2019;15;46;1
1478;1573304520;09;11;2019;16;02;0
1478;1573305480;09;11;2019;16;18;0
1478;1573306440;09;11;2019;16;34;0
1478;1573307400;09;11;2019;16;50;0
1478;1573308360;09;11;2019;17;06;0
1478;1573309320;09;11;2019;17;22;0
1478;1573310280;09;11;2019;17;38;0
1478;1573311240;09;11;2019;17;54;0
1478;1573312200;09;11;2019;18;10;0
1478;1573313160;09;11;2019;18;26;0
1478;1573314120;09;11;2019;18;42;0
1478;1573315080;09;11;2019;18;58;0
1478;1573316040;09;11;2019;19;14;0
1478;1573317000;09;11;2019;19;30;0
1478;1573317960;09;11;2019;19;46;0
1478;1573318920;09;11;2019;20;02;0
1478;1573319880;09;11;2019;20;18;0
1478;1573320840;09;11;2019;20;34;0
1478;1573321800;09;11;2019;20;50;0
1478;1573322760;09;11;2019;21;06;0
1478;1573323720;09;11;2019;21;22;0
1478;1573324680;09;11;2019;21;38;0
1478;1573325640;09;11;2019;21;54;0
1478;1573326600;09;11;2019;22;10;0
1478;1573327560;09;11;2019;22;26;0
1478;1573328520;09;11;2019;22;42;0
1478;1573329480;09;11;2019;22;58;0
1478;1573330440;09;11;2019;23;14;0
1478;1573331400;09;11;2019;23;30;0
1478;1573332360;09;11;2019;23;46;0
1478;1573333320;10;11;2019;00;02;0
1478;1573334280;10;11;2019;00;18;0
1478;1573335240;10;11;2019;00;34;0
1478;1573336200;10;11;2019;00;50;0
1478;1573337160;10;11;2019;01;06;0
1478;1573338120;10;11;2019;01;22;0
1478;1573339080;10;11;2019;01;38;0
1478;1573340040;10;11;2019;01;54;0
1478;1573341000;10;11;2019;02;10;0
1478;1573341960;10;11;2019;02;26;0
1478;1573342920;10;11;2019;02;42;0
1478;1573343880;10;11;2019;02;58;0
1478;1573344840;10;11;2019;03;14;0
1478;1573345800;10;11;2019;03;30;0
1478;1573346760;10;11;2019;03;46;0
1478;1573347720;10;11;2019;04;02;0
1478;1573348680;10;11;2019;04;18;0
1478;1573349640;10;11;2019;04;34;0
1478;1573350600;10;11;2019;04;50;0
1478;1573351560;10;11;2019;05;06;0
1478;1573352520;10;11;2019;05;22;0
1478;1573353480;10;11;2019;05;38;0
1478;1573354440;10;11;2019;05;54;0
1478;1573355400;10;11;2019;06;10;0
1478;1573356360;10;11;2019;06;26;0
1478;1573357320;10;11;2019;06;42;0
1478;1573358280;10;11;2019;06;58;0
1478;1573359240;10;11;2019;07;14;0
1478;1573360200;10;11;2019;07;30;0
1478;1573361160;10;11;2019;07;46;0
1478;1573362120;10;11;2019;08;02;0
1478;1573363080;10;11;2019;08;18;1
1478;1573364040;10;11;2019;08;34;2
1478;1573365000;10;11;2019;08;50;2
1478;1573365960;10;11;2019;09;06;2
1478;1573366920;10;11;2019;09;22;2
1478;1573367880;10;11;2019;09;38;2
1478;1573368840;10;11;2019;09;54;3
1478;1573369800;10;11;2019;10;10;3
1478;1573370760;10;11;2019;10;26;2
1478;1573371720;10;11;2019;10;42;2
1478;1573372680;10;11;2019;10;58;3
1478;1573373640;10;11;2019;11;14;2
1478;1573374600;10;11;2019;11;30;2
1478;1573375560;10;11;2019;11;46;2
1478;1573376520;10;11;2019;12;02;2
1478;1573377480;10;11;2019;12;18;2
1478;1573378440;10;11;2019;12;34;2
1478;1573379400;10;11;2019;12;50;2
1478;1573380360;10;11;2019;13;06;4
1478;1573381320;10;11;2019;13;22;2
1478;1573382280;10;11;2019;13;38;2
1478;1573383240;10;11;2019;13;54;2
1478;1573384200;10;11;2019;14;10;2
1478;1573385160;10;11;2019;14;26;2
1478;1573386120;10;11;2019;14;42;2
1478;1573387080;10;11;2019;14;58;3
